simpanan_ref,koperasi_ref,anggota_ref,periode_pembayaran,jumlah_simpanan,status,dibuat_pada,dibayar_pada
SIMPAN-FA435CF2CC65,KOP-AC0D0FFB3A40,AGT-6FD07025B25F,Simpanan Pokok,50000,UNPAID,2026-03-15 13:29:31,2025-03-12 18:25:17
SIMPAN-93A52BF3A215,KOP-AC0D0FFB3A40,AGT-6FD07025B25F,Simpanan Wajib,25000,PAID,2026-05-17 03:50:33,2026-03-20 13:11:12
SIMPAN-63AAE0A66B15,KOP-AC0D0FFB3A40,AGT-6FD07025B25F,Simpanan Wajib,100000,PAID,2026-03-22 06:24:46,2026-06-19 23:40:56
SIMPAN-B5F183777D7B,KOP-AC0D0FFB3A40,AGT-6FD07025B25F,Simpanan Wajib,100000,UNPAID,2026-05-11 16:55:31,2026-03-23 21:34:16
SIMPAN-A526E05E234F,KOP-AC0D0FFB3A40,AGT-6FD07025B25F,Simpanan Wajib,50000,PAID,2025-03-30 10:09:19,2026-04-07 08:52:43
SIMPAN-0CDE569EB0DD,KOP-AC0D0FFB3A40,AGT-826548AE38E7,Simpanan Pokok,25000,PAID,2026-02-21 17:47:18,2025-09-04 17:20:02
SIMPAN-C02B24E13335,KOP-AC0D0FFB3A40,AGT-826548AE38E7,Simpanan Wajib,50000,PAID,2025-04-06 10:42:46,2025-08-15 14:43:25
SIMPAN-D885200B4145,KOP-AC0D0FFB3A40,AGT-826548AE38E7,Simpanan Pokok,50000,UNPAID,2026-01-13 17:13:51,2026-06-28 12:30:56
SIMPAN-46E9AA560BE1,KOP-AC0D0FFB3A40,AGT-826548AE38E7,Simpanan Wajib,100000,UNPAID,2025-12-05 12:48:32,2026-04-10 09:51:49
SIMPAN-AC23674545E2,KOP-AC0D0FFB3A40,AGT-826548AE38E7,Simpanan Wajib,50000,PAID,2025-05-04 07:00:42,2025-11-20 04:21:10
SIMPAN-295CF76D14C9,KOP-AC0D0FFB3A40,AGT-8ADE9A1B1EAC,Simpanan Pokok,50000,PAID,2025-02-25 20:08:49,2025-10-27 04:35:51
SIMPAN-A1CA07F91AF1,KOP-AC0D0FFB3A40,AGT-8ADE9A1B1EAC,Simpanan Wajib,25000,PAID,2025-10-19 17:05:24,2026-05-06 16:02:13
SIMPAN-F802211B64DD,KOP-AC0D0FFB3A40,AGT-8ADE9A1B1EAC,Simpanan Wajib,25000,PAID,2025-09-16 17:23:36,2025-04-27 02:22:44
SIMPAN-12B38E816D13,KOP-AC0D0FFB3A40,AGT-8ADE9A1B1EAC,Simpanan Wajib,50000,PAID,2025-02-24 05:31:27,2025-06-02 20:29:32
SIMPAN-E35B18D4A473,KOP-AC0D0FFB3A40,AGT-8ADE9A1B1EAC,Simpanan Wajib,25000,PAID,2025-05-02 20:19:07,2026-03-03 22:04:31
SIMPAN-CE65B9CD7DA9,KOP-AC0D0FFB3A40,AGT-D52984EC0A10,Simpanan Pokok,25000,PAID,2025-03-18 05:41:57,2025-01-03 14:52:25
SIMPAN-61FFBA51CB6F,KOP-AC0D0FFB3A40,AGT-7F943E1BC86C,Simpanan Wajib,25000,PAID,2025-03-03 06:02:27,2025-11-11 21:39:53
SIMPAN-B893D3E50DC8,KOP-AC0D0FFB3A40,AGT-7F943E1BC86C,Simpanan Wajib,50000,PAID,2026-04-25 11:04:17,2026-02-17 09:54:43
SIMPAN-7C98F484830A,KOP-AC0D0FFB3A40,AGT-42B9D6247E3C,Simpanan Wajib,50000,PAID,2026-03-23 23:06:42,2026-05-19 03:19:19
SIMPAN-3BEF27338C15,KOP-AC0D0FFB3A40,AGT-42B9D6247E3C,Simpanan Wajib,50000,PAID,2025-12-08 11:41:21,2025-04-18 05:51:19
SIMPAN-A7CF5EF8F648,KOP-AC0D0FFB3A40,AGT-42B9D6247E3C,Simpanan Wajib,50000,UNPAID,2026-05-23 10:29:37,2026-02-15 20:01:42
SIMPAN-3E1585DC5608,KOP-AC0D0FFB3A40,AGT-42B9D6247E3C,Simpanan Pokok,50000,PAID,2025-11-19 09:11:22,2025-11-28 04:13:14
SIMPAN-1D73197024DE,KOP-AC0D0FFB3A40,AGT-42B9D6247E3C,Simpanan Wajib,100000,PAID,2026-04-19 15:02:45,2025-02-25 06:49:46
SIMPAN-F3A16EAF464C,KOP-AC0D0FFB3A40,AGT-84115E81B05D,Simpanan Pokok,100000,PAID,2025-04-06 08:10:51,2025-04-27 16:48:02
SIMPAN-D8D755D335C8,KOP-AC0D0FFB3A40,AGT-84115E81B05D,Simpanan Pokok,100000,PAID,2026-05-26 10:37:34,2026-06-06 09:57:18
SIMPAN-B2BA3A0E6AF7,KOP-AC0D0FFB3A40,AGT-84115E81B05D,Simpanan Wajib,50000,PAID,2025-09-07 16:37:51,2025-05-29 13:57:57
SIMPAN-468C7126983A,KOP-AC0D0FFB3A40,AGT-84115E81B05D,Simpanan Pokok,100000,UNPAID,2025-05-20 02:32:30,2025-10-10 15:06:27
SIMPAN-49B032434BFE,KOP-AC0D0FFB3A40,AGT-84115E81B05D,Simpanan Wajib,100000,PAID,2025-01-03 10:17:52,2025-11-02 21:22:11
SIMPAN-0D49488B3C18,KOP-5B98A03D10CB,AGT-A47AF94E55B5,Simpanan Pokok,100000,UNPAID,2025-09-05 05:13:38,2025-10-26 15:37:41
SIMPAN-49D51421EC25,KOP-5B98A03D10CB,AGT-A47AF94E55B5,Simpanan Pokok,100000,PAID,2025-09-04 20:46:38,2026-03-03 06:49:11
SIMPAN-674981EFC7D2,KOP-5B98A03D10CB,AGT-A47AF94E55B5,Simpanan Pokok,100000,PAID,2025-03-11 19:09:11,2026-06-04 18:28:55
SIMPAN-DF562160E654,KOP-5B98A03D10CB,AGT-A47AF94E55B5,Simpanan Pokok,50000,PAID,2025-02-14 23:08:38,2026-02-01 13:35:29
SIMPAN-E32E6AE35755,KOP-5B98A03D10CB,AGT-A47AF94E55B5,Simpanan Wajib,100000,PAID,2026-01-01 02:27:35,2025-12-20 08:46:44
SIMPAN-DB79E6E9C35B,KOP-5B98A03D10CB,AGT-9E82A1A65A75,Simpanan Pokok,25000,PAID,2025-02-12 11:29:25,2025-11-14 18:45:52
SIMPAN-0556BAA2F3EB,KOP-5B98A03D10CB,AGT-9E82A1A65A75,Simpanan Wajib,100000,PAID,2025-09-17 01:19:59,2025-07-15 10:25:01
SIMPAN-E338DE88F775,KOP-5B98A03D10CB,AGT-9E82A1A65A75,Simpanan Wajib,25000,UNPAID,2025-12-06 09:56:51,2025-05-08 13:23:57
SIMPAN-4BBA4AACDE7E,KOP-5B98A03D10CB,AGT-234C9DA35929,Simpanan Pokok,25000,PAID,2025-10-30 11:09:33,2026-04-02 21:56:26
SIMPAN-630019FF7712,KOP-5B98A03D10CB,AGT-234C9DA35929,Simpanan Wajib,25000,UNPAID,2026-03-31 12:47:57,2026-04-03 01:32:31
SIMPAN-88AD7FFDD793,KOP-5B98A03D10CB,AGT-234C9DA35929,Simpanan Wajib,100000,PAID,2025-10-09 23:16:56,2025-02-28 02:43:55
SIMPAN-0747F9AA04B3,KOP-5B98A03D10CB,AGT-32E2609CF60B,Simpanan Wajib,50000,PAID,2025-03-20 20:53:45,2025-05-21 19:16:37
SIMPAN-33B715909513,KOP-5B98A03D10CB,AGT-32E2609CF60B,Simpanan Wajib,50000,PAID,2025-10-13 09:05:17,2025-04-27 00:56:36
SIMPAN-2164BAED8E00,KOP-5B98A03D10CB,AGT-32E2609CF60B,Simpanan Pokok,50000,UNPAID,2026-02-01 20:26:59,2025-05-01 09:31:51
SIMPAN-C6DE0DDAE1D7,KOP-5B98A03D10CB,AGT-32E2609CF60B,Simpanan Wajib,100000,PAID,2025-08-08 22:16:39,2025-10-20 17:53:02
SIMPAN-62414264F3A5,KOP-5B98A03D10CB,AGT-BA62A61860CE,Simpanan Pokok,25000,PAID,2025-05-23 08:37:09,2026-05-21 00:57:25
SIMPAN-BE551590DC8B,KOP-5B98A03D10CB,AGT-BA62A61860CE,Simpanan Wajib,100000,UNPAID,2026-01-13 17:01:03,2025-05-13 22:16:49
SIMPAN-85FBF8BD095D,KOP-5B98A03D10CB,AGT-BA62A61860CE,Simpanan Pokok,25000,PAID,2026-02-12 17:25:39,2026-06-23 14:57:23
SIMPAN-FF58A7129628,KOP-5B98A03D10CB,AGT-9381DEAD4FE4,Simpanan Pokok,50000,PAID,2025-06-15 11:44:51,2025-08-19 12:35:53
SIMPAN-6BC26ABB7BCD,KOP-5B98A03D10CB,AGT-92CF5BA65CEF,Simpanan Wajib,100000,PAID,2025-01-30 02:57:26,2025-02-16 23:21:16
SIMPAN-3D2B98F13E28,KOP-5B98A03D10CB,AGT-92CF5BA65CEF,Simpanan Wajib,100000,PAID,2026-03-03 22:30:16,2025-02-01 18:07:58
SIMPAN-46D6FB9B54EC,KOP-5B98A03D10CB,AGT-92CF5BA65CEF,Simpanan Wajib,100000,PAID,2026-05-10 08:54:56,2026-02-20 10:49:45
SIMPAN-F36886AA2CB0,KOP-5B98A03D10CB,AGT-92CF5BA65CEF,Simpanan Wajib,25000,UNPAID,2025-03-03 05:45:19,2026-03-27 15:07:56
SIMPAN-1B6FEDE893EF,KOP-5B98A03D10CB,AGT-92CF5BA65CEF,Simpanan Wajib,50000,PAID,2025-12-15 22:05:16,2025-05-28 11:22:50
SIMPAN-1DC217BC48B8,KOP-5B98A03D10CB,AGT-1177C7972EC6,Simpanan Wajib,100000,PAID,2025-09-12 05:48:52,2025-12-02 21:01:58
SIMPAN-ACE3E03307C5,KOP-5B98A03D10CB,AGT-1177C7972EC6,Simpanan Wajib,25000,PAID,2026-05-26 18:44:26,2026-04-24 18:09:33
SIMPAN-D110AA09DB1A,KOP-5B98A03D10CB,AGT-1177C7972EC6,Simpanan Wajib,50000,PAID,2025-04-03 14:19:03,2026-06-02 16:38:50
SIMPAN-7DA0077AED55,KOP-5B98A03D10CB,AGT-260D078B32B0,Simpanan Pokok,50000,PAID,2025-07-19 13:11:56,2025-10-23 02:40:37
SIMPAN-28E6828BB65A,KOP-5B98A03D10CB,AGT-260D078B32B0,Simpanan Wajib,100000,PAID,2025-10-14 22:41:29,2025-05-02 04:41:04
SIMPAN-B75EE2DBAA22,KOP-5B98A03D10CB,AGT-260D078B32B0,Simpanan Pokok,50000,PAID,2025-12-14 20:18:36,2026-01-10 05:15:09
SIMPAN-2F1FA39EFAFE,KOP-5B98A03D10CB,AGT-76CFF0FF7763,Simpanan Wajib,100000,UNPAID,2025-11-03 21:37:00,2025-12-11 18:28:14
SIMPAN-340C8BFC157E,KOP-5B98A03D10CB,AGT-76CFF0FF7763,Simpanan Wajib,100000,UNPAID,2025-11-03 17:17:25,2025-01-18 13:24:41
SIMPAN-C6FB086D3120,KOP-5B98A03D10CB,AGT-DD620948BB27,Simpanan Pokok,100000,UNPAID,2025-04-23 06:56:46,2025-01-20 16:03:27
SIMPAN-C7F22ABFA0D0,KOP-5B98A03D10CB,AGT-DD620948BB27,Simpanan Wajib,50000,PAID,2026-02-27 07:25:24,2026-02-25 18:16:14
SIMPAN-E466A106F517,KOP-5B98A03D10CB,AGT-052DE9FF1550,Simpanan Wajib,25000,PAID,2025-10-13 20:19:09,2025-11-02 08:11:13
SIMPAN-3B41415C5C44,KOP-5B98A03D10CB,AGT-052DE9FF1550,Simpanan Wajib,50000,UNPAID,2025-08-01 17:48:14,2025-11-21 17:28:08
SIMPAN-F7BDE7185ED9,KOP-5B98A03D10CB,AGT-052DE9FF1550,Simpanan Wajib,100000,UNPAID,2025-10-08 10:28:41,2025-05-05 20:52:46
SIMPAN-8E9F5FBEBFC8,KOP-5B98A03D10CB,AGT-F328C30420D1,Simpanan Pokok,25000,UNPAID,2025-09-03 08:49:39,2025-02-21 19:20:04
SIMPAN-C3C349B6B55B,KOP-5B98A03D10CB,AGT-F328C30420D1,Simpanan Pokok,100000,PAID,2025-02-23 03:38:53,2026-02-28 12:01:32
SIMPAN-3414AA7457BA,KOP-5B98A03D10CB,AGT-F328C30420D1,Simpanan Wajib,25000,UNPAID,2025-05-21 00:11:19,2025-06-11 14:48:54
SIMPAN-7DA6BF71EA8C,KOP-5B98A03D10CB,AGT-60BCBED12D3B,Simpanan Pokok,25000,PAID,2025-04-20 12:11:54,2025-10-19 16:32:32
SIMPAN-3C2B4B6E7D8A,KOP-5B98A03D10CB,AGT-60BCBED12D3B,Simpanan Wajib,25000,UNPAID,2026-04-25 09:56:01,2025-07-17 04:06:04
SIMPAN-E9DC970A2ABA,KOP-5B98A03D10CB,AGT-60BCBED12D3B,Simpanan Wajib,25000,UNPAID,2026-04-15 23:36:12,2025-09-21 06:46:45
SIMPAN-820AC4CCE642,KOP-5B98A03D10CB,AGT-8A6DF83A69D0,Simpanan Pokok,50000,PAID,2025-08-30 16:15:54,2025-10-01 12:00:04
SIMPAN-7F5251BDA6A1,KOP-5B98A03D10CB,AGT-8A6DF83A69D0,Simpanan Wajib,100000,UNPAID,2025-01-12 09:31:22,2026-01-04 08:36:12
SIMPAN-7DE54C97D170,KOP-5B98A03D10CB,AGT-4982F332E500,Simpanan Wajib,50000,UNPAID,2026-04-28 19:34:13,2025-08-12 09:00:35
SIMPAN-D5B1414448CD,KOP-5B98A03D10CB,AGT-4982F332E500,Simpanan Pokok,100000,PAID,2026-06-25 13:10:19,2025-03-21 20:32:26
SIMPAN-91F7A6A23921,KOP-5B98A03D10CB,AGT-4982F332E500,Simpanan Pokok,25000,UNPAID,2026-06-02 07:21:37,2025-06-03 05:59:26
SIMPAN-6155EBA7DB6F,KOP-5B98A03D10CB,AGT-4982F332E500,Simpanan Wajib,100000,PAID,2025-04-30 07:28:42,2026-05-16 03:18:39
SIMPAN-8554732D8A3D,KOP-5B98A03D10CB,AGT-49D8507D5341,Simpanan Wajib,50000,UNPAID,2025-03-07 19:42:11,2025-03-03 02:30:46
SIMPAN-AB0775CC969A,KOP-5B98A03D10CB,AGT-BDD2AAE5C029,Simpanan Wajib,100000,PAID,2025-08-17 00:07:35,2025-01-24 10:51:47
SIMPAN-F5C1960AEB3A,KOP-5B98A03D10CB,AGT-BDD2AAE5C029,Simpanan Wajib,100000,UNPAID,2026-03-11 19:22:01,2026-01-24 08:21:42
SIMPAN-C8AB40C38E37,KOP-5B98A03D10CB,AGT-BDD2AAE5C029,Simpanan Pokok,50000,PAID,2025-06-08 10:02:09,2025-07-13 04:06:30
SIMPAN-D720B76CDA8B,KOP-5B98A03D10CB,AGT-BDD2AAE5C029,Simpanan Pokok,100000,PAID,2025-01-17 08:45:44,2025-07-31 02:26:59
SIMPAN-3DFE8B94E0A4,KOP-5B98A03D10CB,AGT-BDD2AAE5C029,Simpanan Pokok,100000,PAID,2026-04-03 21:45:52,2025-02-19 08:54:37
SIMPAN-7D78153B530B,KOP-5B98A03D10CB,AGT-D3BD7472F7D9,Simpanan Pokok,100000,UNPAID,2025-06-29 22:47:30,2026-03-14 20:14:16
SIMPAN-ABEBD82153EF,KOP-5B98A03D10CB,AGT-D3BD7472F7D9,Simpanan Wajib,25000,PAID,2026-01-26 19:05:42,2025-11-23 15:09:28
SIMPAN-AA116AA3A6E2,KOP-5B98A03D10CB,AGT-D3BD7472F7D9,Simpanan Wajib,25000,PAID,2026-01-21 06:41:41,2026-04-30 08:46:24
SIMPAN-80C1FD84B41D,KOP-5B98A03D10CB,AGT-58734D0C831B,Simpanan Pokok,25000,PAID,2026-01-22 22:01:34,2025-02-10 02:38:59
SIMPAN-37299CF6EA70,KOP-5B98A03D10CB,AGT-DB65710FBF3C,Simpanan Wajib,50000,PAID,2026-04-23 19:25:46,2026-01-03 11:13:45
SIMPAN-09D1290E06F8,KOP-5B98A03D10CB,AGT-DB65710FBF3C,Simpanan Wajib,50000,UNPAID,2026-05-25 16:58:00,2025-04-11 17:05:37
SIMPAN-0F95AC7B3CB1,KOP-5B98A03D10CB,AGT-DB65710FBF3C,Simpanan Wajib,25000,PAID,2025-11-17 15:04:14,2025-02-16 20:28:51
SIMPAN-0F408EA16533,KOP-5B98A03D10CB,AGT-DB65710FBF3C,Simpanan Pokok,100000,PAID,2025-01-17 09:29:40,2026-03-04 10:44:51
SIMPAN-AA9000989F22,KOP-5B98A03D10CB,AGT-DB65710FBF3C,Simpanan Pokok,25000,PAID,2025-08-24 13:49:46,2025-09-09 18:10:44
SIMPAN-708483240B91,KOP-67F3AA4F6100,AGT-9DA4BD79D413,Simpanan Wajib,100000,UNPAID,2025-06-26 17:08:56,2025-03-16 00:36:27
SIMPAN-13E717DC95B6,KOP-67F3AA4F6100,AGT-9DA4BD79D413,Simpanan Pokok,25000,PAID,2025-08-09 01:27:00,2025-03-03 14:29:23
SIMPAN-92D95B06A210,KOP-67F3AA4F6100,AGT-9DA4BD79D413,Simpanan Wajib,100000,UNPAID,2026-05-29 15:07:31,2026-03-10 14:38:47
SIMPAN-D28E2CC61B30,KOP-67F3AA4F6100,AGT-9DA4BD79D413,Simpanan Pokok,100000,UNPAID,2025-06-06 10:06:08,2025-03-27 11:17:00
SIMPAN-57C51AA0AC6D,KOP-67F3AA4F6100,AGT-530E71A63DB6,Simpanan Pokok,50000,UNPAID,2025-06-29 04:20:55,2025-01-13 04:59:44
SIMPAN-6DD98A9DC127,KOP-67F3AA4F6100,AGT-530E71A63DB6,Simpanan Pokok,25000,PAID,2025-12-22 19:02:31,2026-06-14 09:26:20
SIMPAN-F76CDD26D2DD,KOP-67F3AA4F6100,AGT-530E71A63DB6,Simpanan Pokok,50000,PAID,2025-10-03 04:17:53,2025-01-31 12:11:50
SIMPAN-A7AE304A218E,KOP-67F3AA4F6100,AGT-530E71A63DB6,Simpanan Wajib,50000,UNPAID,2025-03-07 09:34:25,2025-03-20 18:03:51
SIMPAN-BCECAC3681AD,KOP-67F3AA4F6100,AGT-530E71A63DB6,Simpanan Wajib,100000,PAID,2025-02-26 18:11:24,2025-06-20 13:23:13
SIMPAN-65556DF6AE15,KOP-67F3AA4F6100,AGT-73F400EDC543,Simpanan Pokok,50000,PAID,2026-03-03 11:38:54,2025-10-05 02:50:08
SIMPAN-4362C2F4E8CC,KOP-67F3AA4F6100,AGT-73F400EDC543,Simpanan Wajib,25000,UNPAID,2025-02-23 06:31:47,2025-08-17 18:46:43
SIMPAN-530CED342EA8,KOP-67F3AA4F6100,AGT-73F400EDC543,Simpanan Pokok,50000,PAID,2026-04-22 10:16:42,2025-11-15 11:54:59
SIMPAN-625ACC1D1882,KOP-67F3AA4F6100,AGT-73F400EDC543,Simpanan Pokok,100000,PAID,2025-01-09 13:25:54,2025-07-25 10:36:59
SIMPAN-A7D073D6A794,KOP-67F3AA4F6100,AGT-410C11B052A7,Simpanan Wajib,25000,UNPAID,2026-01-21 11:11:46,2025-04-17 07:28:15
SIMPAN-62CD22008FFD,KOP-67F3AA4F6100,AGT-54FF00123B28,Simpanan Pokok,100000,UNPAID,2025-03-05 15:50:14,2025-05-14 08:37:14
SIMPAN-50A494CB07B1,KOP-67F3AA4F6100,AGT-54FF00123B28,Simpanan Wajib,50000,PAID,2026-02-07 11:52:42,2025-11-22 16:29:03
SIMPAN-9B2F1B592EE4,KOP-67F3AA4F6100,AGT-54FF00123B28,Simpanan Wajib,25000,PAID,2025-07-27 04:57:20,2025-04-22 05:39:29
SIMPAN-41A25F399C23,KOP-67F3AA4F6100,AGT-54FF00123B28,Simpanan Pokok,25000,PAID,2026-04-23 11:26:00,2026-02-21 04:23:45
SIMPAN-4D8918EC0E09,KOP-67F3AA4F6100,AGT-6D0A7BB0CD58,Simpanan Pokok,100000,PAID,2025-09-24 06:19:49,2025-02-01 14:43:24
SIMPAN-7276EE72F460,KOP-67F3AA4F6100,AGT-6D0A7BB0CD58,Simpanan Wajib,100000,UNPAID,2025-09-13 03:26:55,2026-04-19 03:42:37
SIMPAN-212175ED9126,KOP-67F3AA4F6100,AGT-6D0A7BB0CD58,Simpanan Pokok,25000,PAID,2025-03-05 08:05:35,2025-05-14 07:12:49
SIMPAN-6D9B79A34206,KOP-67F3AA4F6100,AGT-6D0A7BB0CD58,Simpanan Wajib,50000,UNPAID,2025-03-28 21:12:06,2025-09-23 02:43:48
